,k1,L1,k2,L2,k3,L3,rho1,rho2,rho3
177,2,9,1,1,3,8,0.00025814,-0.00160934,-0.004119
178,3,9,1,1,3,8,-0.16170381,0.02668091,0.03953644
179,4,9,1,1,3,8,0.00120488,-0.01122185,0.01684102
180,1,9,1,1,4,8,0.0,-0.0,0.0
181,2,9,1,1,4,8,-0.0,0.0,0.0
182,3,9,1,1,4,8,-0.00011721,0.00068224,-0.00139628
183,4,9,1,1,4,8,-0.10406727,0.03477649,0.15809953
184,1,9,1,1,5,8,0.0,-0.0,-0.0
185,2,9,1,1,5,8,0.0,-0.0,0.0
186,3,9,1,1,5,8,0.0,0.0,-0.0
187,4,9,1,1,5,8,-0.00016846,0.00067337,0.00062357
188,1,9,1,1,1,9,-0.01165178,0.02661821,0.0098494
189,2,9,1,1,1,9,0.04837302,0.00638978,0.02264651
190,3,9,1,1,1,9,0.00567325,-0.0230889,0.01588782
191,4,9,1,1,1,9,9.3e-06,-9.965e-05,0.00018206
192,1,9,1,1,2,9,0.0,-0.0,0.0
193,2,9,1,1,2,9,-0.00864395,0.00775115,0.01239846
194,3,9,1,1,2,9,0.08708137,0.00250045,-0.02436595
195,4,9,1,1,2,9,0.00292805,-0.01445971,0.01458276
196,1,9,1,1,3,9,-0.0,0.0,-0.0
197,2,9,1,1,3,9,0.0,-0.0,0.0
198,3,9,1,1,3,9,-0.00765295,-0.0037471,0.00656594
199,4,9,1,1,3,9,0.10117353,-0.015409,-0.15472534
200,1,9,1,1,4,9,-0.0,-0.0,0.0
201,2,9,1,1,4,9,-0.0,0.0,-0.0
202,3,9,1,1,4,9,-0.0,-0.0,0.0
203,4,9,1,1,4,9,-0.00509799,-0.00955384,-0.00484081
204,1,9,1,1,1,10,0.11916686,-0.00062953,0.09536229
205,2,9,1,1,1,10,0.01273859,-0.03237444,0.00762359
206,3,9,1,1,1,10,2.644e-05,-0.00026263,0.00033051
207,4,9,1,1,1,10,1e-08,-2.4e-07,8.9e-07
208,1,9,1,1,2,10,0.01689278,-0.03101836,-0.00947476
209,2,9,1,1,2,10,0.11274906,-0.0040009,0.06096956
210,3,9,1,1,2,10,0.00498904,-0.01718487,0.00979268
211,4,9,1,1,2,10,6.39e-06,-6.934e-05,0.00011333
212,1,9,1,1,3,10,-0.0,0.0,-0.0
213,2,9,1,1,3,10,0.01637216,-0.01190118,-0.01592001
214,3,9,1,1,3,10,0.09541989,-0.01602757,-0.02433536
215,4,9,1,1,3,10,0.00195614,-0.00846454,0.00700741
216,1,9,1,1,4,10,0.0,-0.0,0.0
217,2,9,1,1,4,10,-0.0,0.0,-0.0
218,3,9,1,1,4,10,0.02001542,0.00708968,-0.0116872
219,4,9,1,1,4,10,0.06461102,-0.02478181,-0.10236261
220,1,9,1,1,5,10,0.0,-0.0,-0.0
221,2,9,1,1,5,10,0.0,-0.0,0.0
222,3,9,1,1,5,10,0.0,0.0,-0.0
223,4,9,1,1,5,10,0.02128407,0.02985739,0.01226481
224,1,10,1,1,1,9,-0.19499647,0.01174936,-0.10227786
225,2,10,1,1,1,9,0.00089658,-0.01329833,0.01459548
226,3,10,1,1,1,9,8.06e-06,-8.964e-05,0.00021012
227,1,10,1,1,2,9,-0.00024036,-0.00159878,-0.00459144
228,2,10,1,1,2,9,-0.16439766,0.02709903,0.04066658
229,3,10,1,1,2,9,0.00099866,-0.01151327,0.01854583
230,1,10,1,1,3,9,-0.0,0.0,-0.0
231,2,10,1,1,3,9,-0.00058358,0.0007974,-0.00169132
232,3,10,1,1,3,9,-0.11099691,0.03729186,0.17045108
233,1,10,1,1,4,9,0.0,-0.0,0.0
234,2,10,1,1,4,9,0.0,0.0,-0.0
235,3,10,1,1,4,9,-0.000557,0.00099614,0.00108715
236,1,10,1,1,1,10,0.01225017,-0.03826216,0.00989924
237,2,10,1,1,1,10,4.259e-05,-0.00041434,0.00058867
238,3,10,1,1,1,10,2e-08,-5.6e-07,2.14e-06
239,1,10,1,1,2,10,0.04247285,0.00841455,0.02006402
240,2,10,1,1,2,10,0.00635329,-0.02586258,0.01782521
241,3,10,1,1,2,10,1.368e-05,-0.00014679,0.00026852
242,1,10,1,1,3,10,-0.00970557,0.00870312,0.0139212
243,2,10,1,1,3,10,0.07708385,0.00582274,-0.02245474
244,3,10,1,1,3,10,0.00343963,-0.01700407,0.01719938
245,1,10,1,1,4,10,0.0,-0.0,0.0
246,2,10,1,1,4,10,-0.009023,-0.00441791,0.00774139
247,3,10,1,1,4,10,0.08959181,-0.00971517,-0.13868317
248,1,10,1,1,5,10,-0.0,0.0,-0.0
249,2,10,1,1,5,10,-0.0,-0.0,0.0
250,3,10,1,1,5,10,-0.00688682,-0.01290618,-0.0065394
251,1,10,1,1,1,11,0.10650557,-0.00391947,0.05821247
252,2,10,1,1,1,11,0.00591181,-0.02029051,0.01147133
253,3,10,1,1,1,11,9.82e-06,-0.00010705,0.00017407
254,1,10,1,1,2,11,0.01850488,-0.01330538,-0.01759633
255,2,10,1,1,2,11,0.09090716,-0.01519151,-0.02372189
256,3,10,1,1,2,11,0.00248312,-0.01072757,0.0088128
257,1,10,1,1,3,11,-0.0,0.0,-0.0
258,2,10,1,1,3,11,0.02290912,0.00797819,-0.01310067
259,3,10,1,1,3,11,0.06349007,-0.02490329,-0.10265505
260,1,10,1,1,4,11,0.0,-0.0,0.0
261,2,10,1,1,4,11,0.0,0.0,-0.0
262,3,10,1,1,4,11,0.02546478,0.03522723,0.01428189
263,1,11,1,1,1,10,-0.20329589,0.00439646,-0.1608133
264,2,11,1,1,1,10,-0.00073765,-0.01461544,0.00522476
265,3,11,1,1,1,10,2.439e-05,-0.00024036,0.00047331
266,4,11,1,1,1,10,2e-08,-5.7e-07,2.23e-06
267,1,11,1,1,2,10,-0.00047632,-0.00816254,-0.00546689
268,2,11,1,1,2,10,-0.19400879,0.01163097,-0.10279652
269,3,11,1,1,2,10,0.00036,-0.01302655,0.01551653
270,4,11,1,1,2,10,1.024e-05,-0.00011504,0.00028081
271,1,11,1,1,3,10,-0.0,0.0,-0.0
272,2,11,1,1,3,10,-0.00090951,-0.00149193,-0.00497344
273,3,11,1,1,3,10,-0.1656744,0.02728159,0.04152056
274,4,11,1,1,3,10,0.00071634,-0.01152155,0.02008032
275,1,11,1,1,4,10,0.0,-0.0,0.0
276,2,11,1,1,4,10,-0.0,0.0,-0.0
277,3,11,1,1,4,10,-0.00125846,0.00086443,-0.00191668
278,4,11,1,1,4,10,-0.11530853,0.0389953,0.17922419
279,1,11,1,1,5,10,-0.0,0.0,0.0
280,2,11,1,1,5,10,0.0,-0.0,0.0
281,3,11,1,1,5,10,0.0,0.0,-0.0
282,4,11,1,1,5,10,-0.0011859,0.00109859,0.0015048
283,1,11,1,1,1,11,-0.01402409,0.03203771,0.01185474
284,2,11,1,1,1,11,0.03823939,0.00870221,0.01734855
285,3,11,1,1,1,11,0.00700414,-0.02853977,0.0197233
286,4,11,1,1,1,11,1.905e-05,-0.00020485,0.00037536
287,1,11,1,1,2,11,0.0,-0.0,0.0
288,2,11,1,1,2,11,-0.0107396,0.00963034,0.01540436
289,3,11,1,1,2,11,0.06868289,0.00883384,-0.02091218
290,4,11,1,1,2,11,0.00391969,-0.01940025,0.01968685
291,1,11,1,1,3,11,0.0,0.0,-0.0
292,2,11,1,1,3,11,0.0,-0.0,0.0
293,3,11,1,1,3,11,-0.01032411,-0.00505498,0.0088577
294,4,11,1,1,3,11,0.07986479,-0.00469361,-0.12535474
295,1,11,1,1,4,11,-0.0,0.0,-0.0
296,2,11,1,1,4,11,-0.0,0.0,-0.0
297,3,11,1,1,4,11,-0.0,-0.0,0.0
298,4,11,1,1,4,11,-0.00853901,-0.01600246,-0.00810825
299,1,11,1,1,1,12,0.10426631,0.00018041,0.08674025
300,2,11,1,1,1,12,0.01650646,-0.04148227,0.00966782
301,3,11,1,1,1,12,5.092e-05,-0.00051072,0.00063529
302,4,11,1,1,1,12,3e-08,-7.5e-07,2.84e-06
303,1,11,1,1,2,12,0.02149583,-0.03857196,-0.01148643
304,2,11,1,1,2,12,0.09865674,-0.00179927,0.05582568
305,3,11,1,1,2,12,0.0068558,-0.02345827,0.01315824
306,4,11,1,1,2,12,1.425e-05,-0.00015598,0.00025243
307,1,11,1,1,3,12,-0.0,0.0,-0.0
308,2,11,1,1,3,12,0.02070396,-0.01473826,-0.01928396
309,3,11,1,1,3,12,0.08561294,-0.01419301,-0.02295378
