,k1,L1,k2,L2,k3,L3,rho1,rho2
341,2,12,1,1,4,12,0.04753418,0.00916713
342,3,12,1,1,4,12,0.05418451,0.05607732
343,1,12,1,1,5,12,-0.0,0.0
344,2,12,1,1,5,12,-0.0,-0.0
345,3,12,1,1,5,12,0.0463868,0.03676931
346,1,12,1,1,1,13,0.18056594,-0.01908775
347,2,12,1,1,1,13,-0.00675352,0.01958001
348,3,12,1,1,1,13,-1.044e-05,0.00013211
349,1,12,1,1,2,13,-0.03610684,0.01469406
350,2,12,1,1,2,13,0.1565206,-0.02735291
351,3,12,1,1,2,13,-0.00262422,0.01034742
352,1,12,1,1,3,13,-0.0,0.0
353,2,12,1,1,3,13,-0.04720882,-0.00910438
354,3,12,1,1,3,13,0.11208103,-0.03144366
355,1,12,1,1,4,13,0.0,0.0
356,2,12,1,1,4,13,-0.0,0.0
357,3,12,1,1,4,13,-0.05732683,-0.04544112
358,1,13,1,1,1,12,-0.02991219,0.0006581
359,2,13,1,1,1,12,-0.03458733,0.05545345
360,3,13,1,1,1,12,-9.48e-05,0.00081694
361,4,13,1,1,1,12,-4e-08,9.3e-07
362,1,13,1,1,2,12,-0.0391284,0.03939348
363,2,13,1,1,2,12,-0.02566186,0.00170673
364,3,13,1,1,2,12,-0.01872926,0.04158983
365,4,13,1,1,2,12,-3.712e-05,0.00033572
366,1,13,1,1,3,12,-0.0,0.0
367,2,13,1,1,3,12,-0.0284497,0.01157791
368,3,13,1,1,3,12,-0.02278396,0.0143932
369,4,13,1,1,3,12,-0.01120284,0.03183943
370,1,13,1,1,4,12,0.0,0.0
371,2,13,1,1,4,12,-0.0,0.0
372,3,13,1,1,4,12,-0.02634331,-0.0050804
373,4,13,1,1,4,12,-0.01618759,0.02495801
374,1,13,1,1,5,12,0.0,-0.0
375,2,13,1,1,5,12,0.0,0.0
376,3,13,1,1,5,12,0.0,0.0
377,4,13,1,1,5,12,-0.02144116,-0.01699571
378,1,13,1,1,1,13,0.05524881,-0.0556231
379,2,13,1,1,1,13,0.0236322,0.03937705
380,3,13,1,1,1,13,-0.01807678,0.04422757
381,4,13,1,1,1,13,-3.463e-05,0.00035033
382,1,13,1,1,2,13,-0.0,0.0
383,2,13,1,1,2,13,0.04723515,-0.01922284
384,3,13,1,1,2,13,0.0437609,0.06356791
385,4,13,1,1,2,13,-0.00897278,0.02854439
386,1,13,1,1,3,13,0.0,-0.0
387,2,13,1,1,3,13,0.0,-0.0
388,3,13,1,1,3,13,0.05244267,0.01011375
389,4,13,1,1,3,13,0.04995586,0.06373754
390,1,13,1,1,4,13,-0.0,0.0
391,2,13,1,1,4,13,-0.0,-0.0
392,3,13,1,1,4,13,-0.0,-0.0
393,4,13,1,1,4,13,0.05311401,0.04210175
394,1,13,1,1,1,14,0.19125272,-0.01414536
395,2,13,1,1,1,14,-0.01924304,0.03921513
396,3,13,1,1,1,14,-4.886e-05,0.00057767
397,4,13,1,1,1,14,-2e-08,6.5e-07
398,1,13,1,1,2,14,-0.0382465,0.03850561
399,2,13,1,1,2,14,0.18592868,-0.02116448
400,3,13,1,1,2,14,-0.00715009,0.02129528
401,4,13,1,1,2,14,-1.332e-05,0.0001733
402,1,13,1,1,3,14,-0.0,-0.0
403,2,13,1,1,3,14,-0.03805175,0.01548556
404,3,13,1,1,3,14,0.16075851,-0.02793806
405,4,13,1,1,3,14,-0.00283753,0.0115999
406,1,13,1,1,4,14,-0.0,0.0
407,2,13,1,1,4,14,-0.0,0.0
408,3,13,1,1,4,14,-0.049801,-0.0096043
409,4,13,1,1,4,14,0.11639237,-0.03228395
410,1,13,1,1,5,14,0.0,-0.0
411,2,13,1,1,5,14,0.0,0.0
412,3,13,1,1,5,14,0.0,0.0
413,4,13,1,1,5,14,-0.06110678,-0.04843736
414,1,14,1,1,1,13,-0.02002055,0.00285087
415,2,14,1,1,1,13,-0.01995442,0.04442442
416,3,14,1,1,1,13,-4.707e-05,0.000424
417,1,14,1,1,2,13,-0.0314231,0.01278796
418,2,14,1,1,2,13,-0.01617925,0.01361786
419,3,14,1,1,2,13,-0.01197182,0.03407968
420,1,14,1,1,3,13,-0.0,0.0
421,2,14,1,1,3,13,-0.03004265,-0.00579383
422,3,14,1,1,3,13,-0.01156521,0.02477621
423,1,14,1,1,4,13,0.0,-0.0
424,2,14,1,1,4,13,0.0,0.0
425,3,14,1,1,4,13,-0.02581289,-0.02046104
426,1,14,1,1,1,14,-0.04251782,0.07448043
427,2,14,1,1,1,14,-0.00013139,0.00125178
428,3,14,1,1,1,14,-6e-08,1.68e-06
429,1,14,1,1,2,14,0.02488025,0.03936819
430,2,14,1,1,2,14,-0.01943316,0.04784429
431,3,14,1,1,2,14,-4.42e-05,0.00044788
432,1,14,1,1,3,14,0.050725,-0.02064308
433,2,14,1,1,3,14,0.04069082,0.06935997
434,3,14,1,1,3,14,-0.00977299,0.03135266
435,1,14,1,1,4,14,0.0,-0.0
436,2,14,1,1,4,14,0.05716827,0.0110251
437,3,14,1,1,4,14,0.04633017,0.07109663
438,1,14,1,1,5,14,-0.0,-0.0
439,2,14,1,1,5,14,0.0,-0.0
440,3,14,1,1,5,14,0.05950869,0.04717061
441,1,14,1,1,1,15,0.1877406,-0.01962028
442,2,14,1,1,1,15,-0.00745858,0.02294644
443,3,14,1,1,1,15,-1.645e-05,0.00022074
444,1,14,1,1,2,15,-0.03985512,0.01621946
445,2,14,1,1,2,15,0.16455174,-0.02847814
446,3,14,1,1,2,15,-0.00300782,0.01279343
447,1,14,1,1,3,15,-0.0,0.0
448,2,14,1,1,3,15,-0.05222066,-0.01007094
449,3,14,1,1,3,15,0.12015198,-0.03301277
450,1,14,1,1,4,15,0.0,0.0
451,2,14,1,1,4,15,0.0,0.0
452,3,14,1,1,4,15,-0.06453083,-0.0511515
453,1,15,1,1,1,14,-0.01487806,0.00025339
454,2,15,1,1,1,14,-0.03939617,0.06342428
455,3,15,1,1,1,14,-0.0001472,0.00125922
456,4,15,1,1,1,14,-9e-08,1.98e-06
457,1,15,1,1,2,14,-0.04566959,0.04597899
458,2,15,1,1,2,14,-0.00971082,-0.00069932
459,3,15,1,1,2,14,-0.02118096,0.04720646
460,4,15,1,1,2,14,-5.873e-05,0.00052694
461,1,15,1,1,3,14,-0.0,0.0
462,2,15,1,1,3,14,-0.03443045,0.01401184
463,3,15,1,1,3,14,-0.00948054,0.01278068
464,4,15,1,1,3,14,-0.01271125,0.03627388
465,1,15,1,1,4,14,0.0,0.0
466,2,15,1,1,4,14,-0.0,0.0
467,3,15,1,1,4,14,-0.03372973,-0.00650489
468,4,15,1,1,4,14,-0.00675117,0.02444363
469,1,15,1,1,5,14,0.0,-0.0
470,2,15,1,1,5,14,0.0,0.0
471,3,15,1,1,5,14,-0.0,0.0
472,4,15,1,1,5,14,-0.03020171,-0.02393992
473,1,15,1,1,1,15,0.06265704,-0.06308152
474,2,15,1,1,1,15,0.02004697,0.04597656
475,3,15,1,1,1,15,-0.02070567,0.05147769
476,4,15,1,1,1,15,-5.512e-05,0.00055984
477,1,15,1,1,2,15,0.0,-0.0
478,2,15,1,1,2,15,0.05419518,-0.0220553
479,3,15,1,1,2,15,0.03805524,0.07498991
480,4,15,1,1,2,15,-0.01054195,0.03412765
481,1,15,1,1,3,15,-0.0,0.0
482,2,15,1,1,3,15,0.0,-0.0
483,3,15,1,1,3,15,0.06172427,0.01190374
484,4,15,1,1,3,15,0.04319723,0.07819363
485,1,15,1,1,4,15,-0.0,-0.0
486,2,15,1,1,4,15,0.0,-0.0
