,k1,L1,k2,L2,k3,L3,rho1,rho2,rho3,rho4
250,3,10,1,1,5,10,-0.03468217,-0.02066851,0.01446584,0.00967599
251,1,10,1,1,1,11,-0.13164308,0.01352406,-0.05151245,0.01361617
252,2,10,1,1,1,11,0.00269816,-0.00878973,-0.0062777,0.00156294
253,3,10,1,1,1,11,-4.29e-06,-0.00013759,0.00018638,0.00014801
254,1,10,1,1,2,11,0.02416182,-0.00733166,0.0186423,0.00631678
255,2,10,1,1,2,11,-0.11284789,0.02617696,0.02008424,0.00548971
256,3,10,1,1,2,11,0.00069652,-0.00406719,-0.00483762,0.01184382
257,1,10,1,1,3,11,-0.0,-0.00097656,-0.00030329,0.00026107
258,2,10,1,1,3,11,0.03432873,0.00505437,0.01227044,0.0293304
259,3,10,1,1,3,11,-0.07887174,0.03520732,0.08558266,-0.03092102
260,1,10,1,1,4,11,0.0,-0.0,0.0,-0.0
261,2,10,1,1,4,11,0.0,-0.00076334,-0.00084011,-0.00022128
262,3,10,1,1,4,11,0.04354978,0.0230251,-0.0235569,-0.01452928
263,1,11,1,1,1,10,0.01100397,0.00168128,0.00848156,0.00025037
264,2,11,1,1,1,10,0.02757879,-0.04747792,0.00097847,-0.03342566
265,3,11,1,1,1,10,1.627e-05,-0.00130264,0.0012327,0.000143
266,4,11,1,1,1,10,-2e-08,-1.29e-06,9.53e-06,-1.22e-06
267,1,11,1,1,2,10,0.03234656,-0.03211209,0.01286676,-0.02469716
268,2,11,1,1,2,10,0.00891015,0.00012506,0.00544456,-0.00527393
269,3,11,1,1,2,10,0.01419277,-0.03673576,-0.0084219,0.00240366
270,4,11,1,1,2,10,5.25e-06,-0.00049644,0.00061682,0.00040061
271,1,11,1,1,3,10,-0.0,-0.00103211,0.00049484,0.0003755
272,2,11,1,1,3,10,0.02359865,-0.00881794,0.01100278,0.00476993
273,3,11,1,1,3,10,0.00835842,-0.0070843,-0.00254516,-0.01017232
274,4,11,1,1,3,10,0.00788451,-0.02855566,-0.01139972,0.04046983
275,1,11,1,1,4,10,-0.0,0.0,-0.0,0.0
276,2,11,1,1,4,10,-0.0,-0.00054394,-0.00016893,0.00014542
277,3,11,1,1,4,10,0.0210167,0.00315464,0.0044653,0.01381482
278,4,11,1,1,4,10,0.00621797,-0.0134969,-0.00675608,0.01913178
279,1,11,1,1,5,10,0.0,0.0,0.0,-0.0
