,k1,L1,k2,L2,k3,L3,rho1
422,3,14,1,1,3,13,0.24236453
423,1,14,1,1,4,13,-0.0
424,2,14,1,1,4,13,-0.0
425,3,14,1,1,4,13,-0.0
426,1,14,1,1,1,14,-0.00531258
427,2,14,1,1,1,14,-5.702e-05
428,3,14,1,1,1,14,-7e-08
429,1,14,1,1,2,14,-0.06691305
430,2,14,1,1,2,14,-0.00388959
431,3,14,1,1,2,14,-2.246e-05
432,1,14,1,1,3,14,0.0
433,2,14,1,1,3,14,-0.12018734
434,3,14,1,1,3,14,-0.00284912
435,1,14,1,1,4,14,-0.0
436,2,14,1,1,4,14,0.0
437,3,14,1,1,4,14,-0.13835893
438,1,14,1,1,5,14,0.0
439,2,14,1,1,5,14,0.0
440,3,14,1,1,5,14,0.0
441,1,14,1,1,1,15,-0.29785924
442,2,14,1,1,1,15,-0.00528808
443,3,14,1,1,1,15,-1.816e-05
444,1,14,1,1,2,15,-0.0
445,2,14,1,1,2,15,-0.25968898
446,3,14,1,1,2,15,-0.00293467
447,1,14,1,1,3,15,0.0
448,2,14,1,1,3,15,-0.0
449,3,14,1,1,3,15,-0.18957703
450,1,14,1,1,4,15,-0.0
451,2,14,1,1,4,15,0.0
452,3,14,1,1,4,15,-0.0
453,1,15,1,1,1,14,0.40231158
454,2,15,1,1,1,14,0.0055754
455,3,15,1,1,1,14,-2.728e-05
456,4,15,1,1,1,14,-7e-08
457,1,15,1,1,2,14,-0.0
458,2,15,1,1,2,14,0.38605615
459,3,15,1,1,2,14,0.00222807
460,4,15,1,1,2,14,-1.351e-05
461,1,15,1,1,3,14,0.0
462,2,15,1,1,3,14,0.0
463,3,15,1,1,3,14,0.33682946
464,4,15,1,1,3,14,0.00076534
465,1,15,1,1,4,14,-0.0
466,2,15,1,1,4,14,-0.0
467,3,15,1,1,4,14,-0.0
468,4,15,1,1,4,14,0.2457686
469,1,15,1,1,5,14,-0.0
470,2,15,1,1,5,14,-0.0
471,3,15,1,1,5,14,-0.0
472,4,15,1,1,5,14,-0.0
473,1,15,1,1,1,15,0.0
